Division,Team,BBMI_Rank,BBMI_Score,Record,Q_Wins,HCA,Best_Win_Rank,RAW_Points_Scored,RAW_Points_Against,RAW_Point_Difference,RAW_Field_Goal_Percentage,RAW_Three_Point_Percentage,RAW_Effective_Field_Goal_Percentage,RAW_Free_Throw_Percentage,RAW_Offensive_Rebounds_Per_Game,RAW_Defensive_Rebounds_Per_Game,RAW_Rebounds_Per_Game,RAW_Assists_Per_Game,RAW_Steals_Per_Game,RAW_Blocks_Per_Game,RAW_Charges_Taken_Per_Game,RAW_Turnovers_Per_Game,RAW_Q_Wins,RANK_Points_Scored,RANK_Points_Against,RANK_Point_Difference,RANK_Field_Goal_Percentage,RANK_Three_Point_Percentage,RANK_Effective_Field_Goal_Percentage,RANK_Free_Throw_Percentage,RANK_Offensive_Rebounds_Per_Game,RANK_Defensive_Rebounds_Per_Game,RANK_Rebounds_Per_Game,RANK_Assists_Per_Game,RANK_Steals_Per_Game,RANK_Blocks_Per_Game,RANK_Charges_Taken_Per_Game,RANK_Turnovers_Per_Game,RANK_Q_Wins,WTRANK_Points_Scored,WTRANK_Points_Against,WTRANK_Point_Difference,WTRANK_Field_Goal_Percentage,WTRANK_Three_Point_Percentage,WTRANK_Effective_Field_Goal_Percentage,WTRANK_Free_Throw_Percentage,WTRANK_Offensive_Rebounds_Per_Game,WTRANK_Defensive_Rebounds_Per_Game,WTRANK_Rebounds_Per_Game,WTRANK_Assists_Per_Game,WTRANK_Steals_Per_Game,WTRANK_Blocks_Per_Game,WTRANK_Charges_Taken_Per_Game,WTRANK_Turnovers_Per_Game,WTRANK_Q_Wins,WTRANK_TOTAL
5,Alma Center Lincoln,50,28.2604,15-10,-22.02,-0.987,26,56.1,52.5,3.6,0.385,0.269,0.429,0.518,11.0,22.5,33.5,11.1,10.6,2.3,0.0,15.8,-22.02,25.889,32.207,29.768,22.509,22.923,22.313,16.475,27.32,27.103,27.646,25.0,31.316,27.778,1.0,24.936,28.441,0.0,3.5106,4.2866,0.9679,0.7106,0.1116,0.0,0.0,0.0,1.8799,0.3,1.3466,0.1389,0.0,2.4936,12.5142,28.2605
5,Green Bay NEW Lutheran,51,28.1678,13-13,-11.58,-1.134,33,57.0,58.6,-1.6,0.391,0.278,0.449,0.61,10.7,18.3,29.0,12.2,13.2,1.8,0.0,15.35,-11.58,26.889,25.876,26.589,23.868,25.0,25.822,30.075,26.546,20.24,22.913,27.099,38.158,21.571,1.0,26.118,30.328,0.0,2.8204,3.8289,1.0263,0.775,0.1291,0.0,0.0,0.0,1.5581,0.3252,1.6408,0.1079,0.0,2.6118,13.3444,28.1679
5,Rosholt,52,28.0458,13-11,-29.0,-1.359,42,58.8,56.4,2.5,0.444,0.336,0.503,0.493,10.3,19.6,29.9,11.7,9.0,1.6,0.0,14.1,-29.0,28.889,28.172,29.095,33.219,35.821,34.704,13.197,25.515,22.818,24.087,26.145,27.105,18.143,1.0,29.059,27.18,0.0,3.0708,4.1897,1.4284,1.1104,0.1735,0.0,0.0,0.0,1.6379,0.3137,1.1655,0.0907,0.0,2.9059,11.9591,28.0456
5,Oneida Nation,53,28.0133,14-9,-17.82,-1.109,42,60.7,56.1,4.7,0.397,0.236,0.442,0.495,5.6,22.7762,12.2,4.0,7.0,0.6,0.0,5.2,-17.82,31.0,28.483,30.44,25.171,15.308,24.642,13.459,8.125,27.425,1.0,1.0,21.211,1.0,1.0,50.0,29.2,0.0,3.1046,4.3834,1.0824,0.4745,0.1232,0.0,0.0,0.0,0.068,0.012,0.9121,0.005,0.0,5.0,12.8482,28.0134
5,Tri-County,54,27.6497,12-14,-29.36,-0.971,52,54.0,53.8,0.2,0.384,0.293,0.445,0.647,8.5,23.7,32.3,11.8,9.7,3.2,0.0,14.2294,-29.36,23.582,30.862,27.689,22.283,27.799,25.164,37.03,19.0,28.505,26.551,26.336,28.947,36.111,1.0,28.754,27.115,0.0,3.364,3.9873,0.9582,0.8618,0.1258,0.0,0.0,0.0,1.8055,0.316,1.2447,0.1806,0.0,2.8754,11.9305,27.6498
5,Hilbert,55,27.386,13-13,-9.0,-0.961,30,54.5,58.7,-4.2,0.421,0.327,0.483,0.581,7.3,18.8,26.2,11.2,7.9,2.2,0.0,17.0,-9.0,24.127,25.751,25.0,29.281,34.142,31.414,24.738,14.5,21.231,19.261,25.191,24.053,26.852,1.0,21.745,30.795,0.0,2.8069,3.6,1.2591,1.0584,0.1571,0.0,0.0,0.0,1.3097,0.3023,1.0343,0.1343,0.0,2.1745,13.5496,27.3862
5,Bruce,56,27.2952,13-12,-31.8,-1.571,41,54.0,55.9,-1.9,0.397,0.22,0.423,0.502,19.8,29.0,48.9,8.1,10.9,1.0,0.0,15.2,-31.8,23.582,28.69,26.406,25.171,11.615,21.239,14.377,50.0,34.696,41.697,14.859,32.105,7.857,1.0,26.471,26.674,0.0,3.1272,3.8024,1.0824,0.3601,0.1062,0.0,0.0,0.0,2.8354,0.1783,1.3805,0.0393,0.0,2.6471,11.7364,27.2953
5,Rio,57,26.6557,12-14,-42.94,-1.949,29,57.1,55.1,2.0,0.415,0.338,0.483,0.594,10.7,20.2,30.9,11.2,7.1,2.1,0.0,14.0,-42.94,27.0,29.517,28.79,28.253,36.194,31.414,27.068,26.546,24.008,25.274,25.191,21.526,25.926,1.0,29.294,24.53,0.0,3.2174,4.1457,1.2149,1.122,0.1571,0.0,0.0,0.0,1.7186,0.3023,0.9256,0.1296,0.0,2.9294,10.7931,26.6557
5,Niagara,58,26.0053,13-12,-56.1,-2.916,42,57.5,52.7,4.8,0.4166,0.3034,0.4717,0.596,10.5429,22.7762,32.1182,12.3136,8.3909,2.0409,0.0,13.1105,-56.1,27.444,32.0,30.501,28.527,29.739,29.556,27.444,26.141,27.425,26.385,27.316,25.502,25.379,1.0,31.387,21.238,0.0,3.488,4.3922,1.2267,0.9219,0.1478,0.0,0.0,0.0,1.7942,0.3278,1.0966,0.1269,0.0,3.1387,9.3446,26.0054
5,Sevastopol,59,25.9634,12-12,-36.48,-2.762,51,57.2,56.3,0.9,0.397,0.279,0.44,0.524,12.7,20.5,33.3,13.3,12.0,1.3,0.0,18.8,-36.48,27.111,28.276,28.117,25.171,25.187,24.284,17.262,31.701,24.603,27.464,29.198,35.0,13.0,1.0,16.957,25.828,0.0,3.0821,4.0489,1.0824,0.7808,0.1214,0.0,0.0,0.0,1.8675,0.3504,1.505,0.065,0.0,1.6957,11.3642,25.9634
