Team,Division,Region,WIAASeed,BBMISeed,Seed,slug,RegionalSemis,RegionalChampion,SectionalSemiFinalist,SectionalFinalist,StateQualifier,StateFinalist,StateChampion
Bowler,5,2A,7,72,7,bowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tri-County,5,2A,9,68,8,tri-county,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Reedsville,5,2B,1,1,1,reedsville,1.0,1.0,0.9,0.68,0.59,0.35,0.21
Elkhart Lake-Glenbeulah,5,2B,2,31,2,elkhart-lake-glenbeulah,1.0,1.0,0.83,0.26,0.09,0.02,0.01
Oneida Nation,5,2B,3,60,3,oneida-nation,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Providence Academy (Green Bay),5,2B,4,67,4,providence-academy-green-bay,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Bay NEW Lutheran,5,2B,6,52,6,green-bay-new-lutheran,1.0,1.0,0.17,0.04,0.01,0.0,0.0
Hilbert,5,2B,7,58,7,hilbert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lourdes Academy,5,2B,8,33,8,lourdes-academy,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gibraltar,5,2B,12,74,5,gibraltar,1.0,1.0,0.1,0.02,0.01,0.0,0.0
Royall,5,3A,1,12,1,royall,1.0,1.0,0.57,0.31,0.18,0.06,0.04
Hillsboro,5,3A,2,20,2,hillsboro,1.0,1.0,0.66,0.41,0.19,0.12,0.01
Cochrane-Fountain City,5,3A,3,29,3,cochrane-fountain-city,1.0,1.0,0.34,0.19,0.04,0.01,0.0
Assumption,5,3A,4,35,4,assumption,1.0,1.0,0.43,0.09,0.01,0.0,0.0
Blair-Taylor,5,3A,5,50,5,blair-taylor,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alma Center Lincoln,5,3A,6,39,6,alma-center-lincoln,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alma/Pepin,5,3A,8,61,8,alma-pepin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Plum City/Elmwood,5,3A,10,76,7,plum-city-elmwood,1.0,0.0,0.0,0.0,0.0,0.0,0.0
North Crawford,5,3B,1,8,1,north-crawford,1.0,1.0,0.51,0.29,0.2,0.1,0.05
Kickapoo,5,3B,2,10,2,kickapoo,1.0,1.0,0.76,0.44,0.21,0.12,0.04
Southwestern,5,3B,3,4,3,southwestern,1.0,1.0,0.24,0.18,0.11,0.06,0.03
Belmont,5,3B,4,6,4,belmont,1.0,1.0,0.49,0.09,0.06,0.05,0.02
River Ridge,5,3B,5,22,5,river-ridge,1.0,0.0,0.0,0.0,0.0,0.0,0.0
De Soto,5,3B,6,38,6,de-soto,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Potosi/Cassville,5,3B,7,27,7,potosi-cassville,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Seneca,5,3B,8,45,8,seneca,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Abundant Life,5,4A,1,16,1,abundant-life,1.0,1.0,0.69,0.35,0.13,0.08,0.03
Barneveld,5,4A,2,14,2,barneveld,1.0,1.0,0.82,0.51,0.19,0.1,0.07
Saint Ambrose,5,4A,3,24,3,saint-ambrose,1.0,1.0,0.18,0.08,0.01,0.0,0.0
Johnson Creek,5,4A,5,37,5,johnson-creek,1.0,1.0,0.31,0.06,0.0,0.0,0.0
Randolph,5,4A,6,40,6,randolph,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall River,5,4A,7,41,7,fall-river,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison Country Day,5,4A,9,87,8,madison-country-day,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rio,5,4A,13,54,4,rio,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakfield,5,4B,1,3,1,oakfield,1.0,1.0,0.7,0.42,0.33,0.18,0.08
Sheboygan Lutheran,5,4B,2,5,2,sheboygan-lutheran,1.0,1.0,0.8,0.49,0.27,0.16,0.06
Chesterton Academy Milwaukee,5,4B,3,19,3,chesterton-academy-milwaukee,1.0,1.0,0.2,0.07,0.06,0.01,0.0
Central Wisconsin Christian,5,4B,4,26,4,central-wisconsin-christian,1.0,1.0,0.3,0.02,0.01,0.01,0.0
Palmyra-Eagle,5,4B,5,49,5,palmyra-eagle,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Faith Christian,5,4B,6,51,6,faith-christian,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake Country Classical Academy,5,4B,7,70,7,lake-country-classical-academy,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Catholic Central,5,4B,9,62,8,catholic-central,1.0,0.0,0.0,0.0,0.0,0.0,0.0
