Team,Division,Region,WIAASeed,BBMISeed,Seed,slug,RegionalSemis,RegionalChampion,SectionalSemiFinalist,SectionalFinalist,StateQualifier,StateFinalist,StateChampion
Belleville,4,3A,8,52,8,belleville,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lomira,4,3B,1,6,1,lomira,1.0,1.0,1.0,0.636,0.308,0.148,0.06
Horicon,4,3B,2,26,2,horicon,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pardeeville,4,3B,3,17,3,pardeeville,1.0,1.0,1.0,0.364,0.144,0.024,0.004
Markesan,4,3B,4,39,4,markesan,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Poynette,4,3B,5,62,5,poynette,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marshall,4,3B,6,24,6,marshall,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nekoosa,4,3B,9,83,8,nekoosa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterloo,4,3B,10,89,7,waterloo,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Howards Grove,4,4A,1,13,1,howards-grove,1.0,1.0,1.0,0.46,0.136,0.04,0.008
Manitowoc Lutheran,4,4A,2,19,2,manitowoc-lutheran,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Roncalli,4,4A,3,9,3,roncalli,1.0,1.0,1.0,0.54,0.092,0.036,0.012
Winnebago Lutheran,4,4A,4,22,4,winnebago-lutheran,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kohler,4,4A,5,16,5,kohler,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Laconia,4,4A,6,37,6,laconia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Omro,4,4A,7,45,7,omro,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Mary's Springs,4,4A,8,61,8,saint-marys-springs,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Milwaukee Juneau,4,4B,1,1,1,milwaukee-juneau,1.0,1.0,1.0,0.728,0.628,0.476,0.312
Cedar Grove-Belgium,4,4B,2,12,2,cedar-grove-belgium,1.0,1.0,1.0,0.272,0.144,0.06,0.028
Dominican,4,4B,3,18,3,dominican,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Living Word Lutheran,4,4B,4,43,4,living-word-lutheran,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ozaukee,4,4B,5,49,5,ozaukee,1.0,0.0,0.0,0.0,0.0,0.0,0.0
The Prairie School,4,4B,6,30,6,the-prairie-school,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Heritage Christian,4,4B,7,50,7,heritage-christian,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenosha Christian Life,4,4B,9,76,8,kenosha-christian-life,1.0,0.0,0.0,0.0,0.0,0.0,0.0
