team,model_rank,kenpom_rank,net_ranking,last_ten,record,conference,pointMargin,turnoversForced,reboundsPerGame,pointsPerGame,fieldGoalPct,threePointPct,assistsPerGame,strengthOfSchedule,qualityWins,opponentFieldGoalPct,opponentThreePointPct
Penn State,269,126,122,2-8,11-15,B10,-3.700000000000003,11.8,27.6,77.2,0.466,0.326,12.9,50,276,0.495,0.387
UNLV,176,127,131,6-4,13-12,MWC,0.5,12.4,32.2,76.9,0.463,0.33,13.7,88,127,0.453,0.36
Seattle,160,128,127,4-6,16-11,WCC,5.200000000000003,14,30.9,72,0.442,0.333,13.6,120,132,0.414,0.316
UC Santa Barbara,102,129,133,5-5,17-9,BW,6.200000000000003,12.2,32.4,79.5,0.481,0.384,14.9,200,185,0.473,0.362
UAB,171,130,119,6-4,16-10,Amer,5.599999999999994,11.2,35.5,74.8,0.437,0.284,13.2,169,126,0.427,0.325
Bradley,138,131,113,7-3,18-9,MVC,4.799999999999997,13.9,32.6,78.8,0.434,0.359,13.1,158,124,0.445,0.348
Winthrop,66,132,121,10-0,19-8,BSth,10.099999999999994,12,36.3,82,0.447,0.35,14.7,268,101,0.428,0.321
Washington State,199,133,135,3-7,11-16,WCC,-1.2000000000000028,9.3,31.2,74.5,0.471,0.368,13,84,209,0.465,0.353
Maryland,277,134,151,3-7,10-15,B10,-7,10.8,33.4,73,0.408,0.318,10.4,10,108,0.471,0.373
Texas-RGV,83,135,140,9-1,15-12,Slnd,6.299999999999997,11.5,33.1,77.6,0.467,0.367,17.1,179,220,0.414,0.312
North Texas,155,136,148,7-3,15-11,Amer,4.400000000000006,15.6,33.5,71.7,0.428,0.297,12.7,139,141,0.418,0.297
Richmond,113,137,142,2-8,14-12,A10,4,12,32.5,78,0.449,0.367,14.5,151,152,0.435,0.322
East Tennessee State,61,138,128,7-3,19-8,SC,10.600000000000009,13.3,33,80.9,0.485,0.337,15.2,348,114,0.418,0.322
Montana State,124,139,138,6-4,15-11,BSky,7.1000000000000085,11.4,31.6,77.9,0.462,0.366,11.4,144,147,0.445,0.33
Bowling Green,101,140,141,5-5,16-10,MAC,11.700000000000003,14.5,31.6,79.2,0.484,0.345,14.1,246,171,0.43,0.333
Portland State,89,141,130,8-2,17-7,BSky,7.900000000000006,12,34.5,77.5,0.474,0.333,15.2,206,117,0.407,0.304
Austin Peay,60,142,134,9-1,19-6,ASun,10.699999999999989,13.9,32.5,80.1,0.47,0.367,15.9,311,86,0.437,0.317
Troy,94,143,132,6-4,17-10,SB,6.900000000000006,12.8,34.3,79.7,0.449,0.346,15.9,191,88,0.438,0.33
Wright State,112,144,139,7-3,17-10,Horz,7.199999999999989,11.7,30.8,78.6,0.487,0.358,13.9,242,155,0.461,0.335
St. Bonaventure,96,145,145,3-7,14-11,A10,2.200000000000003,12.5,32.6,78.3,0.473,0.368,16.4,146,102,0.46,0.357
Northern Colorado,91,146,143,1-9,17-10,BSky,6.200000000000003,8.7,34.2,82.3,0.491,0.366,17.1,214,131,0.445,0.307
Kent State,97,147,144,7-3,19-7,MAC,5.700000000000003,10.8,36.2,81.2,0.458,0.351,15.6,220,82,0.434,0.341
Arkansas State,125,148,146,7-3,16-11,SB,4.799999999999997,10.7,37.6,79.5,0.449,0.334,15.4,213,178,0.443,0.323
